Title,Artist,Genre,Decade,Duration
Halo 1,Adele,Pop,1990,4.4
Rude 2,Drake,Hip-Hop,2010,3.5
Perfect 3,The Beatles,Classical,1980,3.6
Blinding Lights 4,Taylor Swift,Hip-Hop,2000,3.6
Someone Like You 5,Adele,R&B,2010,2.6
Viva La Vida 6,MAGIC,Hip-Hop,1990,3.8
Hotel California 7,Beyoncé,Jazz,1970,4.7
Perfect 8,MAGIC,Country,1990,5.4
Shape of You 9,Eminem,Hip-Hop,1980,2.7
Mamma Mia 10,Ed Sheeran,Country,1970,3.2
Shape of You 11,MAGIC,Hip-Hop,2020,5.0
Shape of You 12,Taylor Swift,Indie,1990,5.2
Bohemian Rhapsody 13,Ed Sheeran,Electronic,2010,4.9
Perfect 14,Taylor Swift,Electronic,1990,3.2
Halo 15,Taylor Swift,Electronic,2010,3.6
Viva La Vida 16,Ed Sheeran,Reggae,2010,4.4
Viva La Vida 17,Beyoncé,Indie,1980,5.3
Mamma Mia 18,Taylor Swift,Electronic,1990,3.1
Rude 19,Adele,Jazz,2000,3.7
Shape of You 20,Adele,Reggae,2010,3.5
Someone Like You 21,Coldplay,Rock,2010,3.4
Bohemian Rhapsody 22,Beyoncé,Reggae,1970,5.2
Viva La Vida 23,Adele,Jazz,2000,3.6
Halo 24,Ed Sheeran,Reggae,1970,4.9
Rude 25,Eminem,Jazz,2010,5.0
Rude 26,MAGIC,Indie,2020,3.5
Rude 27,Ed Sheeran,Reggae,1970,3.1
Mamma Mia 28,ABBA,Indie,2000,5.1
Viva La Vida 29,Drake,Jazz,2010,3.5
Halo 30,ABBA,Electronic,2020,5.4
Shape of You 31,ABBA,Jazz,1970,3.7
Someone Like You 32,Taylor Swift,Indie,1970,5.0
Hotel California 33,MAGIC,Indie,2000,4.4
Bohemian Rhapsody 34,ABBA,Hip-Hop,1990,4.2
Blinding Lights 35,Taylor Swift,Classical,2010,2.7
Shape of You 36,Ed Sheeran,Pop,1980,4.3
Halo 37,Coldplay,Indie,2020,5.2
Rude 38,Ed Sheeran,Rock,2020,4.7
Halo 39,Drake,Jazz,2020,3.1
Blinding Lights 40,ABBA,Rock,1990,3.6
Blinding Lights 41,Beyoncé,Classical,1980,3.3
Shape of You 42,Beyoncé,Reggae,1990,5.0
Blinding Lights 43,The Beatles,Reggae,2010,3.8
Shape of You 44,Eminem,Country,2000,3.7
Someone Like You 45,Coldplay,Indie,2000,3.4
Viva La Vida 46,Eminem,Pop,2000,3.2
Someone Like You 47,Beyoncé,Reggae,2010,2.8
Viva La Vida 48,The Beatles,Hip-Hop,1970,5.1
Halo 49,MAGIC,Classical,2020,2.8
Mamma Mia 50,Coldplay,Hip-Hop,2020,3.0
Bohemian Rhapsody 51,ABBA,Classical,2020,4.4
Blinding Lights 52,Adele,Rock,1970,4.9
Blinding Lights 53,The Beatles,Electronic,1980,5.4
Hotel California 54,Taylor Swift,Classical,1990,2.7
Hotel California 55,Ed Sheeran,R&B,2000,3.9
Halo 56,Drake,Country,1980,4.2
Halo 57,Adele,Indie,2000,5.0
Someone Like You 58,Eminem,Classical,1980,2.6
Bohemian Rhapsody 59,Eminem,Indie,1990,5.2
Mamma Mia 60,Taylor Swift,Jazz,2020,3.7
Mamma Mia 61,MAGIC,Classical,2020,3.4
Mamma Mia 62,Taylor Swift,Country,1990,3.4
Halo 63,Coldplay,Jazz,2000,5.1
Halo 64,Ed Sheeran,Classical,1990,3.0
Rude 65,Coldplay,Hip-Hop,1970,3.4
Perfect 66,Coldplay,Indie,1970,5.4
Perfect 67,Ed Sheeran,Electronic,1980,4.9
Rude 68,ABBA,Indie,2000,3.8
Halo 69,ABBA,R&B,1980,3.1
Rude 70,Eminem,Reggae,1980,3.3
Someone Like You 71,Drake,Jazz,2010,3.3
Someone Like You 72,Taylor Swift,Indie,1980,3.6
Shape of You 73,Ed Sheeran,Country,2000,2.9
Halo 74,Eminem,Reggae,1980,4.2
Hotel California 75,Ed Sheeran,Hip-Hop,1980,4.0
Rude 76,MAGIC,Classical,1990,4.2
Mamma Mia 77,Ed Sheeran,Rock,1980,4.0
Viva La Vida 78,Beyoncé,R&B,1990,3.4
Viva La Vida 79,Coldplay,Country,1980,3.8
Viva La Vida 80,Beyoncé,Hip-Hop,2020,3.3
Blinding Lights 81,Drake,R&B,2020,3.5
Perfect 82,Adele,Rock,2000,4.2
Blinding Lights 83,Ed Sheeran,Indie,1970,5.0
Shape of You 84,MAGIC,Classical,1970,4.2
Someone Like You 85,Beyoncé,R&B,2010,3.5
Bohemian Rhapsody 86,Ed Sheeran,Electronic,1970,5.0
Hotel California 87,ABBA,Indie,2000,4.2
Mamma Mia 88,The Beatles,Electronic,1970,4.7
Bohemian Rhapsody 89,Ed Sheeran,Hip-Hop,1970,4.1
Mamma Mia 90,MAGIC,Rock,2010,4.4
Blinding Lights 91,MAGIC,Jazz,1980,4.0
Blinding Lights 92,Beyoncé,Indie,1980,3.8
Rude 93,Beyoncé,R&B,1970,4.2
Blinding Lights 94,Adele,Indie,1970,4.3
Blinding Lights 95,MAGIC,Pop,1990,3.1
Viva La Vida 96,Eminem,Classical,2000,3.9
Halo 97,Taylor Swift,Reggae,2000,4.5
Viva La Vida 98,The Beatles,Electronic,2020,4.9
Perfect 99,Adele,Jazz,1990,5.2
Viva La Vida 100,Eminem,Rock,2010,4.7
Perfect 101,Coldplay,Hip-Hop,2020,3.9
Bohemian Rhapsody 102,Eminem,R&B,1970,2.8
Blinding Lights 103,Drake,Classical,2000,2.5
Bohemian Rhapsody 104,Beyoncé,Pop,2020,2.8
Viva La Vida 105,Adele,Reggae,2010,4.5
Shape of You 106,Drake,Rock,2000,3.2
Someone Like You 107,ABBA,Electronic,1990,4.1
Rude 108,Beyoncé,Electronic,2000,4.1
Rude 109,MAGIC,Reggae,2020,3.6
Mamma Mia 110,Beyoncé,Indie,1990,5.1
Blinding Lights 111,Taylor Swift,Hip-Hop,2000,2.6
Blinding Lights 112,Beyoncé,Indie,2020,3.7
Shape of You 113,MAGIC,Electronic,1990,3.5
Bohemian Rhapsody 114,Taylor Swift,Electronic,1980,3.6
Viva La Vida 115,Ed Sheeran,Rock,1990,4.2
Rude 116,Eminem,Pop,2010,3.3
Shape of You 117,ABBA,Reggae,2000,4.1
Viva La Vida 118,Adele,Rock,2000,3.3
Someone Like You 119,ABBA,Hip-Hop,2020,2.8
Viva La Vida 120,Drake,R&B,1970,4.4
Rude 121,MAGIC,Indie,2020,4.0
Bohemian Rhapsody 122,Eminem,Pop,1980,3.9
Bohemian Rhapsody 123,Beyoncé,Hip-Hop,2000,5.5
Bohemian Rhapsody 124,Ed Sheeran,Classical,2020,4.3
Perfect 125,Coldplay,Jazz,1980,4.6
Bohemian Rhapsody 126,The Beatles,Rock,1980,3.7
Blinding Lights 127,ABBA,Indie,2000,3.8
Blinding Lights 128,Adele,Pop,1980,5.1
Someone Like You 129,Coldplay,Rock,1980,4.9
Viva La Vida 130,MAGIC,Reggae,1990,3.3
Viva La Vida 131,Drake,Classical,1980,4.8
Bohemian Rhapsody 132,The Beatles,Jazz,2020,3.1
Someone Like You 133,Beyoncé,Country,2000,2.8
Rude 134,MAGIC,Pop,2000,5.0
Shape of You 135,Drake,R&B,2000,5.4
Rude 136,Ed Sheeran,Hip-Hop,1970,3.6
Blinding Lights 137,The Beatles,Electronic,1970,4.7
Perfect 138,Adele,Indie,2010,4.2
Mamma Mia 139,Adele,Reggae,2020,3.5
Blinding Lights 140,Beyoncé,Pop,2000,3.5
Shape of You 141,Adele,Country,2010,3.2
Mamma Mia 142,Adele,Electronic,1980,5.2
Bohemian Rhapsody 143,Eminem,Classical,2010,2.6
Rude 144,The Beatles,R&B,2010,2.8
Hotel California 145,Ed Sheeran,Reggae,1990,3.4
Rude 146,Ed Sheeran,Hip-Hop,2020,3.5
Blinding Lights 147,Drake,Hip-Hop,2010,3.4
Mamma Mia 148,Coldplay,Rock,2020,3.5
Hotel California 149,MAGIC,R&B,2020,2.7
Shape of You 150,Coldplay,Classical,1970,2.9
